time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1570183200,24947,35.2,null,85.966,null,998.743,null,29.564,null,31.149,null
1570190400,24947,32.433,null,87.3,null,1003.151,null,27.811,null,28.254,null
1570215600,24947,34.0,null,86.0,null,1009.652,null,4.405,null,4.405,null
1570194000,24947,33.033,null,87.934,null,1004.807,null,17.041,null,17.036,null
1570176000,24947,37.0,null,80.867,null,995.492,null,40.532,null,49.169,null
1570208400,24947,33.367,null,87.267,null,1008.827,null,6.008,null,6.008,null
1570150800,24947,34.933,null,83.233,null,998.445,null,5.361,null,5.361,null
1570165200,24947,35.466,null,80.2,null,996.017,null,6.971,null,6.971,null
1569877200,24947,33.784,null,87.267,null,996.81,null,11.564,null,11.564,null
1569884400,24947,37.767,null,86.733,null,996.779,null,4.33,null,4.33,null
1569873600,24947,32.3,null,88.867,null,997.295,null,17.417,null,17.417,null
1569880800,24947,36.666,null,87.666,null,996.601,null,6.504,null,6.504,null
1569859200,24947,39.5,null,81.834,null,1000.521,null,4.864,null,4.864,null
1569866400,24947,36.133,null,89.0,null,998.433,null,12.047,null,12.047,null
1569870000,24947,33.408,null,89.434,null,997.686,null,24.704,null,25.333,null
1569862800,24947,37.9,null,86.7,null,999.802,null,2.893,null,2.893,null
1569920400,24947,39.0,null,80.0,null,1000.362,null,7.671,null,7.671,null
1569970800,24947,30.0,null,89.034,null,1016.625,null,5.888,null,5.888,null
1569956400,24947,34.567,null,89.666,null,1012.828,null,11.452,null,11.452,null
1569891600,24947,39.0,null,84.733,null,997.0,null,2.198,null,2.198,null
1569898800,24947,37.4,null,82.633,null,996.587,null,1.329,null,1.329,null
1569913200,24947,39.0,null,80.0,null,998.163,null,15.236,null,15.236,null
1569916800,24947,39.0,null,80.0,null,999.108,null,10.966,null,10.966,null
1569934800,24947,39.0,null,79.0,null,1005.859,null,1.676,null,1.676,null
1569960000,24947,34.0,null,91.6,null,1013.962,null,7.607,null,7.607,null
1569927600,24947,39.0,null,80.0,null,1003.25,null,3.399,null,3.399,null
1569967200,24947,33.0,null,92.0,null,1015.834,null,5.053,null,5.053,null
1569945600,24947,39.567,null,80.5,null,1009.128,null,4.46,null,4.46,null
1569942000,24947,38.567,null,79.0,null,1007.989,null,1.263,null,1.263,null
1569952800,24947,34.434,null,87.834,null,1011.601,null,19.787,null,20.029,null
1569938400,24947,39.0,null,79.0,null,1006.927,null,1.399,null,1.399,null
1569909600,24947,38.867,null,80.0,null,997.508,null,9.29,null,9.29,null
1569902400,24947,37.0,null,81.166,null,996.526,null,0.951,null,0.951,null
1569963600,24947,31.867,null,91.666,null,1015.019,null,8.15,null,8.15,null
